Category: All categories,
,
Region,ChatGPT: (12/2/24 - 12/2/25)
District of Columbia,100
California,98
Georgia,92
New Jersey,90
Texas,88
Arizona,88
Maryland,86
Virginia,84
Florida,82
Massachusetts,82
North Carolina,80
Delaware,79
Colorado,77
New York,77
Washington,76
Utah,76
Connecticut,76
Nevada,76
Illinois,74
Rhode Island,73
Alabama,71
Minnesota,70
New Mexico,70
Mississippi,70
South Carolina,69
Michigan,68
Pennsylvania,68
Hawaii,67
Kansas,67
Oklahoma,67
South Dakota,67
Louisiana,66
Nebraska,66
Indiana,66
Idaho,66
Arkansas,65
Oregon,64
Missouri,63
New Hampshire,62
Ohio,62
Tennessee,62
North Dakota,61
Kentucky,60
Wisconsin,59
Wyoming,57
Iowa,56
Alaska,56
Maine,55
Vermont,55
Montana,50
West Virginia,49
